Row Labels;4TC_PCURMON;4TC_P+1MON
31/05/2013;5964;5821
03/06/2013;5925;5793
04/06/2013;5925;5779
05/06/2013;5871;5671
06/06/2013;5900;5765
07/06/2013;6080;5950
10/06/2013;6192;6092
11/06/2013;6304;6207
12/06/2013;6454;6421
13/06/2013;6439;6357
14/06/2013;6621;6475
17/06/2013;6679;6550
18/06/2013;6718;6571
19/06/2013;6775;6668
20/06/2013;6804;6688
21/06/2013;6807;6618
24/06/2013;6825;6654
25/06/2013;6896;7036
26/06/2013;6950;7436
27/06/2013;6907;7321
28/06/2013;7671;7036
01/07/2013;7692;7067
02/07/2013;7286;6661
03/07/2013;7358;6804
04/07/2013;7379;6821
05/07/2013;7540;6865
08/07/2013;7636;6936
09/07/2013;7693;6993
10/07/2013;7925;7292
11/07/2013;8596;7993
12/07/2013;8879;8261
15/07/2013;8779;8129
16/07/2013;8671;7958
17/07/2013;8739;8121
18/07/2013;8675;7975
19/07/2013;8695;8100
22/07/2013;8679;8125
23/07/2013;8621;7800
24/07/2013;8607;7721
25/07/2013;8604;7583
26/07/2013;8638;7613
29/07/2013;8619;7779
30/07/2013;8600;7739
31/07/2013;7711;7846
01/08/2013;7829;8007
02/08/2013;7971;8357
05/08/2013;7907;8336
06/08/2013;7664;8171
07/08/2013;7496;8043
08/08/2013;7521;8121
09/08/2013;7525;8360
12/08/2013;7607;8600
13/08/2013;7664;8721
14/08/2013;7743;8829
15/08/2013;7779;8863
16/08/2013;7750;8738
19/08/2013;7650;8586
20/08/2013;7629;8614
21/08/2013;7596;8508
22/08/2013;7558;8542
23/08/2013;7593;8800
27/08/2013;7602;8771
28/08/2013;7503;8342
29/08/2013;7531;8518
30/08/2013;8450;10092
02/09/2013;8300;10050
03/09/2013;8457;10314
04/09/2013;8563;10617
05/09/2013;8758;11029
06/09/2013;9690;12640
09/09/2013;10050;13114
10/09/2013;9808;12800
11/09/2013;9729;12464
12/09/2013;9671;12421
13/09/2013;9971;13200
16/09/2013;10036;13693
17/09/2013;10264;14164
18/09/2013;10160;14020
19/09/2013;10270;14540
20/09/2013;10320;15400
23/09/2013;10483;16450
24/09/2013;10525;16871
25/09/2013;10586;16971
