Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;
Created 23 February 2024 11:49;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;No;No;No;No;CGT;CGT;CGT;CGT;DWT;DWT;DWT;GT;GT;GT;DWT
Date;Handysize Bulker Orderbook [No];Handymax Bulker Orderbook [No];Panamax Bulker Orderbook [No];Capesize Bulker Orderbook [No];Handysize Bulker Orderbook [CGT];Handymax Bulker Orderbook [CGT];Panamax Bulker Orderbook [CGT];Capesize Bulker Orderbook [CGT];Handysize Bulker Orderbook [DWT];Handymax Bulker Orderbook [DWT];Capesize Bulker Orderbook [DWT];Handysize Bulker Orderbook [GT];Handymax Bulker Orderbook [GT];Capesize Bulker Orderbook [GT];Panamax Bulker Orderbook [DWT]
Nov-2008;1402;1179;757;901;15605403.7701;19455366.8258;15117255.02098;28418191.97157;38732595;66677291;166928878;24656991;38777880;86553175;63221048
Dec-2008;1394;1163;751;891;15564351.34953;19191440.77662;15001719.40483;28060916.97994;38700500;65777363;164630457;24634943;38251051;85361714;62740560
Jan-2009;1382;1151;743;884;15515874.52169;18985027.51718;14848353.22347;27832061.19645;38669797;65114897;163240938;24629842;37827177;84650864;62113776
Feb-2009;1414;1152;747;884;15829173.82221;19013362.47385;14942819.82768;27835107.83583;39397122;65186358;163264526;25086595;37898331;84665753;62506039
Mar-2009;1389;1152;741;888;15597282.55932;19013655.02098;14827062.74648;27956807.26073;38870877;65183197;163937682;24760821;37899915;85024696;62025759
Apr-2009;1354;1141;735;883;15268662.3122;18830684.75229;14703221.05001;27787206.10698;38113706;64571757;162883538;24289800;37532383;84484927;61488221
May-2009;1332;1124;728;873;15073882.52164;18547244.33323;14567252.74712;27472964.87108;37668163;63602190;161038585;24021486;36962887;83539689;60931822
Jun-2009;1309;1112;721;866;14868151.09541;18344765.31346;14430665.33075;27258227.12053;37206333;62920232;159812216;23736369;36552778;82904099;60372925
Jul-2009;1277;1108;710;852;14567533.59444;18279663.36685;14211914.59534;26852485.1821;36509801;62698786;157652320;23304959;36424260;81777317;59450142
Aug-2009;1281;1098;712;850;14651467.60715;18116966.92218;14261838.7253;26807191.05853;36766521;62135356;157519215;23464296;36102782;81693900;59676880
