Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;;
Created 23 February 2024 11:52;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date;No;No;No;No;DWT;DWT;DWT;DWT;$m;$m;$m;$m;GT;GT;GT;GT
Date;Handysize Bulker Sales [No];Handymax Bulker Sales [No];Panamax Bulker Sales [No];Capesize Sales [No];Handysize Bulker Sales [DWT];Handymax Bulker Sales [DWT];Panamax Bulker Sales [DWT];Capesize Sales [DWT];Handysize Bulker Sales [$m];Handymax Bulker Sales [$m];Panamax Bulker Sales [$m];Capesize Sales [$m];Handysize Bulker Sales [GT];Handymax Bulker Sales [GT];Panamax Bulker Sales [GT];Capesize Sales [GT]
Sep-2011;9;8;7;5;287102;423643;512294;853345;110.5;159.5;121.4;168;173313;255309;270110;434519
Oct-2011;10;11;1;5;270573;537664;73670;1015170;74.15;193.125;16;215.8;161694;304916;38972;511734
Nov-2011;9;5;8;4;257311;236634;602193;668937;90.6;74.7;178;112.2;160812;162539;322102;336177
Dec-2011;8;12;5;3;216795;580054;352665;579357;56.2;156.68185;59.2;55.075;136147;359821;191422;294944
Jan-2012;11;7;4;2;317317;320389;304243;300476;100.62;79.41242;81.5;18.15;201128;189222;158209;154923
Feb-2012;10;6;4;1;292041;260659;288357;106659;109.8;49.85;49;32;185413;151141;152918;62273
Mar-2012;13;9;13;3;379951;426854;962139;520188;103.45;91.1;245.5;94.6;228350;275501;510420;270664
Apr-2012;18;13;6;7;510983;675461;443833;1226806;150.8;212.3;94.2;216.8;316768;380903;237007;626841
May-2012;8;10;11;6;204636;495288;830821;1020579;57.85;148.2;179.7;178.5;133956;301221;441853;520801
Jun-2012;11;4;8;2;301225;207212;597904;326157;86.9;42.4;110.81;77.05;188696;121238;321636;171558
Jul-2012;11;10;5;6;291060;515313;406806;1108428;68.1;158.65;68.67;176.5;181172;292491;217290;563085
Aug-2012;6;8;7;4;192344;418115;523961;577419;79.7;114.21;129.6;27.4;122638;251528;284125;296280
Sep-2012;10;14;4;18;294841;604038;292686;4528863;61.6665;76.40732;62.1;780.1;189576;357696;156045;2362653
Oct-2012;10;12;7;8;282578;589377;584423;1304371;56.13;145.23;126.34;155.85;174681;345751;309977;664075
Nov-2012;8;9;21;8;246597;461832;1622592;1515995;97.51;123.85;350.4;180.5;154635;262976;877122;765637
Dec-2012;3;6;15;4;84342;288528;1184907;679705;32.35;55.68;280.9;61.2;53198;169321;638679;349218
Jan-2013;19;15;18;5;572949;769209;1415561;1229748;136.22649;181.8;262.9913;231.8;353917;443121;752390;654279
Feb-2013;10;11;4;3;284837;505179;303778;601911;64.39;81.05;42.6058;63.9;175652;298923;161370;320336
Mar-2013;13;10;9;0;356420;503947;677687;0;85.61857;125.65;109.75;0;220054;285267;362731;0
Apr-2013;7;7;10;5;203518;358853;775891;836083;72.6;101;162.55;85.8;125948;201643;408478;422958
May-2013;16;9;8;6;439998;433264;640378;1152645;138.5425;106.1;131.35;156.96;284440;250742;340453;595105
